,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
1,19 - 24,Ultralight Hydraglow Day Cream,4.9,880,youtube,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
9,18 and Under,Oil Free Brightening Daily Moisturizer,4.9,1089,Brand website,Lotion \\u0026 Emulsion,Moisturizer,Oily,Less than 1 week,1,5,Medium Dark,Neutral,1
14,19 - 24,C White Lightening Serum,4.8,2432,FD Try and Review,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
20,19 - 24,Oil Free Brightening Daily Moisturizer,4.9,1088,Instagram,Lotion \\u0026 Emulsion,Moisturizer,Oily,Less than 1 week,1,4,Medium Light,Neutral,1
31,25 - 29,Oil Free Brightening Daily Moisturizer,3.5,19,Official Brand Store,Lotion \\u0026 Emulsion,Moisturizer,Normal,1 week - 1 month,1,5,Light,Neutral,1
44,18 and Under,Ultralight Hydraglow Day Cream,4.8,2431,Instagram,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
47,18 and Under,C White Lightening Serum,4.9,104,Instagram,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium Light,Neutral,1
50,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,2430,Shopee,Night Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
53,25 - 29,C White Lightening Serum,4.6,5,Shopee,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Medium Light,Neutral,1
62,25 - 29,Ultralight Hydraglow Day Cream,4.8,2429,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,0,5,Medium,Neutral,1
65,25 - 29,C White Lightening Serum,4.7,38,Shopee,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,0,5,Medium,Neutral,1
92,30 - 34,Acne Gentle Cleansing Foam,4.3,67,Instagram,Facial Wash,Cleanser,Normal,1 week - 1 month,1,5,Medium,Neutral,1
94,19 - 24,Acne Gentle Cleansing Foam,4.8,3520,Shopee,Facial Wash,Cleanser,Normal,1 week - 1 month,1,5,Medium,Warm,1
98,18 and Under,Hydrasoothe Sunscreen Gel SPF 45+++,4.9,1086,Lazada,Sun Protection,Moisturizer,Oily,Less than 1 week,1,5,Medium Dark,Warm,1
103,18 and Under,Oil Free Brightening Daily Moisturizer,4.4,90,FD Try and Review,Lotion \\u0026 Emulsion,Moisturizer,Normal,3 months - 6 months,1,5,Medium,Neutral,1
113,25 - 29,Acne Gentle Cleansing Foam,4.3,127,Shopee,Facial Wash,Cleanser,Combination,1 week - 1 month,1,5,Medium Light,Neutral,1
129,19 - 24,Oil Free Brightening Daily Moisturizer,4.4,77,Shopee,Lotion \\u0026 Emulsion,Moisturizer,Normal,1 week - 1 month,0,4,Medium,Neutral,1
146,19 - 24,Ultralight Hydraglow Day Cream,4.5,2140,Brand website,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Light,Neutral,1
149,19 - 24,C White Lightening Serum,4.4,34,Brand website,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Light,Neutral,1
163,18 and Under,Acne Gentle Cleansing Foam,4.3,79,Brand website,Facial Wash,Cleanser,Dry,More than 1 year,0,5,Light,Neutral,1
177,25 - 29,Miraclear Herbal Peeling Serum,3.9,31,Shopee,Peeling,Treatment,Combination,1 month - 3 months,0,5,Medium Dark,Warm,1
207,18 and Under,Ultralight Hydraglow Day Cream,4.8,195,Brand website,Day Cream,Moisturizer,Combination,1 week - 1 month,0,5,Medium Light,Neutral,1
229,18 and Under,Ultralight Hydraglow Day Cream,4.3,22,FD Try and Review,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Light,Neutral,1
233,19 - 24,C White Lightening Serum,4.7,48,FD Try and Review,Serum \\u0026 Essence,Treatment,Oily,Less than 1 week,1,5,Light,Neutral,1
249,25 - 29,C-White Perfect Radiance Night Moisturizer,4.8,199,Gift,Night Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium,Neutral,1
265,35 - 39,Ultralight Hydraglow Day Cream,4.3,272,Shopee,Day Cream,Moisturizer,Normal,Less than 1 week,1,5,Medium,Neutral,1
272,18 and Under,Oil Free Brightening Daily Moisturizer,5.0,2,Shopee,Lotion \\u0026 Emulsion,Moisturizer,Combination,1 week - 1 month,1,4,Medium Light,Neutral,1
